MouseID,DYRK1A_N,ITSN1_N,BDNF_N,NR1_N,NR2A_N,pAKT_N,pBRAF_N,pCAMKII_N,pCREB_N,pELK_N,pERK_N,pJNK_N,PKCA_N,pMEK_N,pNR1_N,pNR2A_N,pNR2B_N,pPKCAB_N,pRSK_N,AKT_N,BRAF_N,CAMKII_N,CREB_N,ELK_N,ERK_N,GSK3B_N,JNK_N,MEK_N,TRKA_N,RSK_N,APP_N,Bcatenin_N,SOD1_N,MTOR_N,P38_N,pMTOR_N,DSCR1_N,AMPKA_N,NR2B_N,pNUMB_N,RAPTOR_N,TIAM1_N,pP70S6_N,NUMB_N,P70S6_N,pGSK3B_N,pPKCG_N,CDK5_N,S6_N,ADARB1_N,AcetylH3K9_N,RRP1_N,BAX_N,ARC_N,ERBB4_N,nNOS_N,Tau_N,GFAP_N,GluR3_N,GluR4_N,IL1B_N,P3525_N,pCASP9_N,PSD95_N,SNCA_N,Ubiquitin_N,pGSK3B_Tyr216_N,SHH_N,BAD_N,BCL2_N,pS6_N,pCFOS_N,SYP_N,H3AcK18_N,EGR1_N,H3MeK4_N,CaNA_N,Genotype,Treatment,Behavior,class
3417_7,0.369484046,0.485913103,0.228784793,1.441955193,2.103699932,0.184317719,0.149355058,2.051595384,0.156143924,1.192464358,0.55431093,0.254412763,0.208248473,0.209097081,0.520875764,0.483027834,1.059572301,0.658180584,0.327393075,0.448913781,0.348099117,0.263238289,0.1598778,0.669891378,1.766463001,0.720638153,0.181941616,0.198913781,0.489307536,0.123557366,0.348438561,1.366938221,0.259674134,0.309063136,0.294976239,0.539035981,0.47233537,0.22640869,0.383910387,0.279531568,0.247284453,0.304141208,0.159708079,0.175359851,1.102925244,0.16437084,0.999380901,0.320074292,0.415570345,0.72960842,0.186658412,0.170561833,0.164835165,0.118093174,0.14920291,0.163132642,0.175978951,0.125058041,0.256616623,0.151524532,0.626218852,0.282928339,1.763968426,2.315276273,0.162668318,1.136820926,0.758860857,0.224423464,,0.1762885,0.118093174,0.135273178,0.436000619,,,,1.527317753,Ts65Dn,Memantine,C/S,t-CS-m
3501_14,0.351955307,0.60415004,0.378558127,2.457302474,3.810055866,0.316307529,0.229316308,4.424048949,0.248470338,1.442670923,0.342910348,0.362596435,0.3367917,0.34557063,0.879223198,0.782122905,1.791965948,1.272944932,0.474062251,0.89358872,0.312849162,0.48603352,0.226922054,1.227986167,2.442936951,1.138068635,0.290236765,0.32349029,0.789571695,0.220803405,0.437882416,2.140728917,0.864857675,0.460760841,0.463421123,0.867783985,0.718276137,0.374833732,0.689545092,0.395051875,0.334663474,0.47273211,0.367118915,0.180498297,0.735615702,0.156658899,1.413335723,0.287685965,0.536655315,1.147158989,0.340921312,0.176196451,0.186054849,0.151460835,0.193045349,0.213837605,0.281591683,0.126187489,0.18713031,0.118659258,0.776124754,0.343251479,1.721455458,2.339666607,0.184979387,1.445241083,0.961641871,0.300949991,0.220828105,0.174045528,0.151460835,0.168130489,0.482882237,0.266535221,0.267072952,0.31385553,1.17314931,Ts65Dn,Memantine,S/C,t-SC-m
3418_12,0.265762171,0.398244214,0.295291301,1.913008779,2.715349827,0.253790902,0.198723065,2.067039106,0.193136472,1.209630221,0.265762171,0.294227188,0.313913275,0.288906624,0.750997606,0.651503059,1.287576483,0.870444267,0.383080607,0.581005587,0.219739292,0.350625166,0.178504922,0.948124501,1.49933493,0.804735302,0.214950785,0.258047353,0.508645916,0.163341314,0.419260442,1.673051343,0.758446395,0.529396116,0.592178771,0.823357276,0.691407289,0.45198191,0.625432296,0.376163873,0.441872839,0.501463155,0.52434158,0.15547422,0.736791852,0.154201146,1.408975175,0.253023552,0.287078294,1.072565245,0.900063654,0.234563972,0.183004456,0.135264163,0.172183323,0.202100573,0.419478039,0.142106938,0.187141948,0.128898791,0.530076384,0.296944621,1.569541693,1.974856779,0.20050923,1.214672183,0.718491407,0.221037556,,,0.135264163,0.159293444,0.396562699,,,0.382081477,0.802673456,Ts65Dn,Memantine,S/C,t-SC-m
3505_5,0.796207393,1.052328373,0.381541047,2.596735478,4.652184349,0.230676908,0.172587614,2.536845895,0.220355257,2.006120979,1.083533365,0.298607777,0.36137782,0.287205953,0.902304369,0.560609698,1.70931349,2.096975516,0.515242439,0.734277484,0.673787806,0.372659626,0.1987518,1.343014882,3.111137782,1.629020643,0.26956313,0.309769563,0.836893903,0.185789726,0.478636582,2.633341335,0.348655785,0.427268363,0.316610658,0.762602016,0.606577052,0.397143543,0.559529525,0.386101776,0.314330293,0.454152664,0.25,0.196205114,1.003536453,0.190424374,1.584874864,0.319572905,0.44117247,1.174442329,0.096980413,0.155127856,0.184643634,0.108337867,0.145198585,0.204230141,0.186343852,0.102625136,0.208786725,0.118539173,0.475788901,0.258229053,1.637513602,2.152339499,0.114662677,1.073721436,0.920089771,0.179270947,0.125136017,0.099972797,0.108337867,0.099496736,0.440764418,0.093715996,0.12132753,0.132684984,1.997755713,Ts65Dn,Memantine,C/S,t-CS-m
320_14,0.471745596,0.697323267,0.371539693,2.472660718,4.652024708,0.278197209,0.215511325,2.592541752,0.244566461,1.758178906,0.760466712,0.356897735,0.360558225,0.308396248,0.896133608,0.741020361,1.765042324,1.767787692,0.41615191,0.842598948,0.468085106,0.483413407,0.215282544,1.269274765,3.212765957,1.406085564,0.289407458,0.306566003,0.784717456,0.196064974,0.382292382,2.132692748,0.373369938,0.590711508,0.455730954,0.858156028,0.773507207,0.454815832,0.705330588,0.489132922,0.412948982,0.482955845,0.20979181,0.182792817,0.951755562,0.173009917,0.778745645,0.320959528,0.482980434,1.434870008,0.106807826,0.179174484,0.187215224,0.113106406,0.163361029,0.18064862,0.217770035,0.122085232,0.170195658,0.099303136,0.508978826,0.333556687,1.394398285,2.066604128,0.185875101,1.426159207,0.883945323,0.220316269,0.171535781,0.155856339,0.113106406,0.123425355,0.547038328,0.157866524,0.219914232,,1.561913696,Control,Memantine,C/S,c-CS-m
320_8,0.530854674,0.748071583,0.385529158,2.573125579,5.495063252,0.23742672,0.187596421,2.549676026,0.200401111,1.714594261,0.819962974,0.363776612,0.344800987,0.26349892,0.923788954,0.802992903,1.850663376,1.849892009,0.388151805,0.892780006,0.45880901,0.414841098,0.185128047,1.495217525,3.623264425,1.438136378,0.271058315,0.301758716,0.795124961,0.166615242,0.415303919,2.366244986,0.350200555,0.551835853,0.423943227,0.78771984,0.711045973,0.476858994,0.688830608,0.491977785,0.387226165,0.478093181,0.2108917,0.207468156,1.026522422,0.169865643,0.740359449,0.34252312,0.520851509,1.720642122,0.120048857,0.174576863,0.207206421,0.133310068,0.167771768,0.186093177,0.257895655,0.145611586,0.189844704,0.110190194,0.507154074,0.320799162,1.496859187,2.188536032,0.160181469,1.269499215,0.848106788,0.206508463,0.169342174,0.124847322,0.133310068,0.120310592,0.506979585,0.143168731,0.195166638,,1.650846275,Control,Memantine,C/S,c-CS-m
J2292_8,0.252385846,0.402437234,0.346938776,2.29290853,4.542064308,0.224636617,0.178241081,5.303626487,0.196740567,1.102334459,0.304066951,0.308177947,0.347819703,0.270298047,0.824988988,0.698575833,1.556452797,1.737923947,0.449713698,0.71267068,0.228013508,0.36529144,0.172808692,1.063133167,2.328439289,1.0957275,0.268095727,0.289091176,0.753193364,0.156658347,0.38863603,,0.444134488,0.509176332,0.480692997,0.762736749,0.565262076,0.395242989,0.585523418,0.358684481,0.331669358,0.400234914,0.535897812,0.188591022,0.792939526,0.146820449,2.180564214,0.287484414,0.415991272,1.37928616,0.360582918,0.150015586,0.188824813,0.133494389,0.171056733,0.191708229,0.277197631,0.125389651,0.239011845,0.166225062,0.561408978,0.31678616,1.421446384,2.258572319,0.162406484,1.338216958,0.866973192,0.228491272,0.150327307,0.122038653,0.133494389,0.127883416,0.510442643,0.207839776,0.179940773,0.186798628,1.238700125,Control,Saline,S/C,c-SC-s
3480_5,0.324310416,0.542301359,0.327295183,2.445862495,4.297344586,0.15232606,0.129580074,3.44195142,0.187628654,1.037052285,0.52562783,0.227254014,0.358789625,0.181659119,0.874433923,0.845512557,1.638740222,2.135755455,0.321634417,0.476842322,0.288184438,0.310518732,0.14172499,0.941642651,3.009674763,1.278921367,0.195450803,0.22097571,0.70934541,0.138225607,0.379888843,2.250308769,0.297756278,0.454508028,0.354466859,0.689481268,0.501852614,0.360127625,0.532626595,0.339645945,0.269967065,0.379168382,0.255969535,0.191871631,0.88148194,0.15649588,1.624062945,0.289139459,0.347252339,1.941081717,0.134378291,0.14881358,0.189579332,0.116597485,0.146025649,0.156681742,0.140140016,0.120500589,0.273465089,0.130784958,0.510872932,0.294839229,1.591227309,2.137290131,0.13481197,1.043181959,0.854531937,0.21367945,0.123970014,0.112818289,0.116597485,0.123784152,0.467938789,0.100985069,0.137228177,0.13958243,1.810544576,Control,Saline,C/S,c-CS-s
3606_9,0.399572298,0.632998848,0.274716236,2.04227669,3.982891923,0.238855075,0.157427208,4.564895542,0.168448758,1.367659154,0.431978944,0.303339365,0.281789768,0.253002139,0.765586445,0.775127488,1.521960849,1.187366343,0.388221747,0.735153808,0.311235401,0.331962494,0.153972693,1.042441191,2.167132752,1.058068761,0.199539398,0.245764106,0.568185557,0.139332127,0.405987827,1.892252015,0.606843231,0.485112683,0.493502221,0.89784504,0.591873663,0.363546636,0.561441026,0.3110709,0.306958381,0.455338049,0.358776114,0.152057927,1.047160823,0.12414253,1.392054116,0.245712652,0.295064787,1.220560213,0.125952744,0.140720274,0.179211128,0.13043064,0.156726372,0.193597561,0.199314024,0.107088415,0.201695884,0.111947409,0.552019817,0.255335366,1.860994665,2.028963415,0.167301829,1.296970274,0.849847561,0.239900915,0.147198933,0.128525152,0.13043064,0.135575457,0.38043064,0.130811738,0.179973323,0.163776677,0.935499238,Ts65Dn,Memantine,S/C,t-SC-m
3483_11,0.387130988,0.569383065,0.259678275,1.815273113,2.642036415,0.184019798,0.154322079,1.976312533,0.17836309,1.089446703,0.424783454,0.229627011,0.269047198,0.199398975,0.657945908,0.415237759,1.161746509,1.582464204,0.423369277,0.502209652,0.302457133,0.301219728,0.155029167,0.902952095,1.642743504,1.049142655,0.203818278,0.206116316,0.558599965,0.144953155,0.403924342,1.571857875,0.278769666,0.346296624,0.321371752,0.342937953,0.308997702,0.305108715,0.340109599,0.305639031,0.256496376,0.369453774,0.55082199,0.169650561,0.758951682,0.140207075,2.404227783,0.278688525,0.46624245,0.614430544,0.376617774,0.170405522,0.152070751,0.091566005,0.118421053,0.153041415,0.20340811,0.118421053,0.177631579,0.090918896,0.42094478,0.276423641,1.105478861,1.622519413,0.143442623,0.991048318,0.690681622,0.205349439,0.159188956,0.12295082,0.091566005,0.131686799,0.302415876,0.183455565,0.166630716,0.197799827,1.123597929,Ts65Dn,Saline,C/S,t-CS-s
